obs,-1
ttbarW,-1,-1,0.216
zinv,-1,-1,0.617
qcd,-1,-1,0.546
ttz,-1,-1,0.311
rare,-1,-1,0.240
T2tt,1000,-1,-1,0.076
T2tt,1100,-1,-1,0.078
T2tt,1200,-1,-1,0.079
T2tt,800,-1,-1,0.081
T2tt,900,-1,-1,0.081
T1tttt,1700,-1,-1,0.086
T1tttt,1800,-1,-1,0.086
T1tttt,1900,-1,-1,0.086
T1tttt,2000,-1,-1,0.087
T1tttt,2100,-1,-1,0.091
