obs,-1
ttbarW,-1,-1,0.184
zinv,-1,-1,0.766
qcd,-1,-1,0.557
ttz,-1,-1,0.314
rare,-1,-1,0.311
T2tt,1000,-1,-1,0.117
T2tt,1100,-1,-1,0.130
T2tt,1200,-1,-1,0.128
T2tt,800,-1,-1,0.135
T2tt,900,-1,-1,0.111
T1tttt,1700,-1,-1,0.101
T1tttt,1800,-1,-1,0.104
T1tttt,1900,-1,-1,0.105
T1tttt,2000,-1,-1,0.110
T1tttt,2100,-1,-1,0.110
