obs,0
ttbarW,0,0.58100,0.277
zinv,1,0.00071,0.696
qcd,1,0.17900,0.743
ttz,7,0.00615,0.348
rare,0,0.05571,0.000
T2tt,1000,32,0.00886,0.179
T2tt,1100,44,0.00552,0.120
T2tt,1200,52,0.00274,0.148
T2tt,800,14,0.04195,0.231
T2tt,900,17,0.01838,0.153
T1tttt,1700,820,0.00787,0.103
T1tttt,1800,832,0.00481,0.103
T1tttt,1900,737,0.00336,0.106
T1tttt,2000,1005,0.00153,0.109
T1tttt,2100,958,0.00100,0.110
