obs,-1
ttbarW,-1,-1,0.140
zinv,-1,-1,0.635
qcd,-1,-1,1.208
ttz,-1,-1,0.303
rare,-1,-1,0.207
T2tt,1000,-1,-1,0.089
T2tt,1100,-1,-1,0.089
T2tt,1200,-1,-1,0.091
T2tt,800,-1,-1,0.089
T2tt,900,-1,-1,0.085
T1tttt,1700,-1,-1,0.094
T1tttt,1800,-1,-1,0.095
T1tttt,1900,-1,-1,0.096
T1tttt,2000,-1,-1,0.099
T1tttt,2100,-1,-1,0.102
