obs,7
ttbarW,4,0.54200,0.184
zinv,6,0.01603,0.766
qcd,6,0.17900,0.557
ttz,40,0.00837,0.314
rare,5,0.00304,0.311
T2tt,1000,89,0.00960,0.117
T2tt,1100,93,0.00543,0.130
T2tt,1200,92,0.00288,0.128
T2tt,800,69,0.04623,0.135
T2tt,900,70,0.02013,0.111
T1tttt,1700,1131,0.00794,0.101
T1tttt,1800,1091,0.00480,0.104
T1tttt,1900,933,0.00335,0.105
T1tttt,2000,1246,0.00153,0.110
T1tttt,2100,1155,0.00100,0.110
